Category,Keyword
Pressure Vessels & Storage Tanks,Pressure vessel fabrication
Pressure Vessels & Storage Tanks,Pig launchers and receivers
Pressure Vessels & Storage Tanks,Bulk storage vessels
Pressure Vessels & Storage Tanks,Air receivers
Pressure Vessels & Storage Tanks,Propane storage tanks
Pressure Vessels & Storage Tanks,Hydrogen storage tanks
Pressure Vessels & Storage Tanks,Coalescing filters
Pressure Vessels & Storage Tanks,Surge drums
Pressure Vessels & Storage Tanks,Knock out drums
Pressure Vessels & Storage Tanks,Steam packers
Pressure Vessels & Storage Tanks,Blend tanks
Plate & Structural Steel,Structural steel fabrication
Plate & Structural Steel,Steel frame construction
Plate & Structural Steel,Heavy plate welding
Plate & Structural Steel,Custom steel fabrication
Plate & Structural Steel,Steel beams and supports
Plate & Structural Steel,Welded plate structures
Piping & ASME-Certified Work,ASME pressure piping
Piping & ASME-Certified Work,Industrial piping systems
Piping & ASME-Certified Work,Pipeline fabrication
Piping & ASME-Certified Work,High-pressure piping
Piping & ASME-Certified Work,Pipe welding services
Piping & ASME-Certified Work,Carbon steel pipe welding
Piping & ASME-Certified Work,Stainless steel piping
Piping & ASME-Certified Work,ASME PP-certified work
Piping & ASME-Certified Work,Boiler and pressure vessel fabrication
Downhole Tubular / Offshore Drilling & Subsea Work,Downhole tubular welding
Downhole Tubular / Offshore Drilling & Subsea Work,Offshore casing welding
Downhole Tubular / Offshore Drilling & Subsea Work,Connector welding
Downhole Tubular / Offshore Drilling & Subsea Work,API 5L X-series casing
Downhole Tubular / Offshore Drilling & Subsea Work,Submerged arc welding (SAW)
Downhole Tubular / Offshore Drilling & Subsea Work,Oilfield welding services
Downhole Tubular / Offshore Drilling & Subsea Work,Offshore drilling fabrication
General Industry Keywords,Fabrication and welding
General Industry Keywords,Steel manufacturing contracts
General Industry Keywords,Industrial equipment fabrication
General Industry Keywords,Oil & gas fabrication contracts
General Industry Keywords,Pipeline construction contracts
