id,title,link,category,date_posted,closing_date,organization
519,W6898-250746 - Pressure Vessel Maintenance - CFB Gagetown,https://canadabuys.canada.ca/en/tender-opportunities/tender-notice/ws5016051568-doc5017328674,Services,"2025/02/26
Amended",2025/03/11,Department of National Defence (DND)
520,Vessels Reactors,https://canadabuys.canada.ca/en/tender-opportunities/tender-notice/cb-970-79186953,Goods,2025/02/26,2025/03/25,National Research Council Canada
521,Request for Supply Arrangement - Vessel Charters,https://canadabuys.canada.ca/en/tender-opportunities/tender-notice/cb-7678-41616716,Services,"2024/06/24
Amended",2029/12/31,Department of Fisheries and Oceans
522,FABRICATION AND INSTALLATION OF COMMUNITY SIGNS,https://canadabuys.canada.ca/en/tender-opportunities/tender-notice/onrefad2c07f7-7487-4f2e-960b-487c56af13fb,Construction,"2024/10/23
Amended",2024/10/23,Town Of Whitchurch-Stouffville
523,Hydrographic Survey Vessels,https://canadabuys.canada.ca/en/tender-opportunities/tender-notice/pw-mc-047-29443,Goods,"2025/03/06
Amended",2025/03/13,Fisheries and Oceans Canada
524,"K3D33-241167 – NISO Vessel Charter, Atlantic and Pacific Coast",https://canadabuys.canada.ca/en/tender-opportunities/tender-notice/ws5031943525-doc5031986071,Services,"2025/03/06
Amended",2025/03/20,Department of the Environment (ECCC )
525,F7044-200268 - RFSA Refresh for In-Water Vessel Cleaning with Capture,https://canadabuys.canada.ca/en/tender-opportunities/tender-notice/ws5004253210-doc5004373642,Services,2025/02/03,2026/01/30,Canadian Coast Guard (CCG)
526,Fabrication et gravure de plaques d’identification,https://canadabuys.canada.ca/en/tender-opportunities/tender-notice/qc20033854,Services related to goods,2024/12/03,2025/01/16,Ministère de la Culture et des…
527,Metal Fabrication Services – Park Fixtures,https://canadabuys.canada.ca/en/tender-opportunities/tender-notice/bc1220-060-2025-002,,2025/03/07,2025/03/27,City of Surrey
528,Image Sensors Fabrication Services,https://canadabuys.canada.ca/en/tender-opportunities/tender-notice/onref27a83e89-de1a-42b1-98ed-0b9764e42cbe,"Services, Goods",,2025/03/14,University Of Toronto
529,HealthPRO RFP 03289 Low Pressure Irrigation Solution,https://canadabuys.canada.ca/en/tender-opportunities/tender-notice/nshealthprojune2025rfp03289,Goods,2024/07/24,2024/09/18,HealthPro Procurement Services Inc.
530,RFSA - Small Vessel Disposal Services,https://canadabuys.canada.ca/en/tender-opportunities/tender-notice/pw-mer-008-29327,Services,"2024/11/01
Amended",2029/03/30,Public Works and Government Services…
531,W8482-253508 – In-Water Vessel Cleaning Services for DND 2025,https://canadabuys.canada.ca/en/tender-opportunities/tender-notice/ws5046176031-doc5046245496,Services,2025/02/28,2025/03/17,Department of National Defence (DND)
532,Medium/Large Vessel Recycling Services,https://canadabuys.canada.ca/en/tender-opportunities/tender-notice/pw-mer-005-29423,Services,2025/01/06,2029/03/30,Public Works and Government Services…
533,21C81-249242 CORCAN Sheeting Fabric,https://canadabuys.canada.ca/en/tender-opportunities/tender-notice/ws4946950350-doc4948310814,Goods,"2025/02/19
Amended",2025/02/27,CORCAN
534,Disposal of 25 vessels at Campobello Island,https://canadabuys.canada.ca/en/tender-opportunities/tender-notice/pw-mer-005-28860,Services,"2022/11/22
Amended",2322/11/23,Fisheries and Oceans Canada
535,"Req 346 - Design, Fabrication, and Deliver Bridge",https://canadabuys.canada.ca/en/tender-opportunities/tender-notice/bc5181616,Goods,2025/02/27,2025/03/14,Ministry of Transportation and…
536,Fabrication et installation d'enseignes pour la MRC de Matawinie,https://canadabuys.canada.ca/en/tender-opportunities/tender-notice/qc20039130,Services related to goods,2024/12/18,2025/01/23,MRC de Matawinie
537,Modernization of a High-Pressure Aluminum Die Casting Process Control,https://canadabuys.canada.ca/en/tender-opportunities/tender-notice/cb-767-9117443,Services,"2025/03/03
Amended",2025/03/21,National Research Council Canada
538,Small Uncrewed Surface Vessel (USV),https://canadabuys.canada.ca/en/tender-opportunities/tender-notice/nb18172570,Goods,"2025/03/07
Amended",2025/03/31,Central Tendering Branch
539,EVC01-202004C - RFSA Small Vessel Recycling,https://canadabuys.canada.ca/en/tender-opportunities/tender-notice/ws5027338222-doc5027498089,Services,2025/02/20,2029/03/31,Department of Public Works and Government…
540,NSCC Akerley Campus Welding and Metal Fabrication Shop Renovations,https://canadabuys.canada.ca/en/tender-opportunities/tender-notice/nsft2025-002-91213-63,Construction,2025/02/20,2025/03/14,Nova Scotia Community College (NSCC)
541,W6399-25FD35 Vessel Rental,https://canadabuys.canada.ca/en/tender-opportunities/tender-notice/ws5020138552-doc5057677770,Services,2025/03/06,2025/03/18,Department of National Defence (DND)
542,ENMAX - Request for Proposal - RFP Pressure Equipment IDMS (Inspection…,https://canadabuys.canada.ca/en/tender-opportunities/tender-notice/ab-2025-01389,Services,2025/02/19,2025/03/12,ENMAX
